user_id,age,gender,bmi,fitness_goal,experience_level,weekly_attendance,preferred_time,recommended_class
116,48,Female,22.6,Flexibility,Intermediate,3,Morning,Yoga
117,18,Female,19.2,Weight Loss,Intermediate,3,Evening,HIIT
118,49,Male,28.2,Muscle Gain,Intermediate,3,Evening,Strength Training
119,23,Female,26.1,Muscle Gain,Beginner,3,Morning,CrossFit
120,35,Male,29.2,Weight Loss,Beginner,2,Morning,Cardio Blast
121,34,Female,31.0,Weight Loss,Advanced,5,Evening,HIIT
122,30,Male,26.4,Flexibility,Advanced,1,Evening,Yoga
123,40,Female,28.0,Weight Loss,Advanced,0,Evening,HIIT
124,26,Male,29.0,Weight Loss,Advanced,3,Morning,Zumba
125,24,Male,30.1,Flexibility,Advanced,4,Evening,Pilates
126,46,Female,26.7,Weight Loss,Beginner,4,Morning,HIIT
127,32,Male,29.7,Flexibility,Beginner,0,Evening,Pilates
128,39,Male,19.4,Flexibility,Intermediate,3,Evening,Pilates
129,34,Female,25.5,Weight Loss,Intermediate,0,Morning,Cardio Blast
130,25,Male,31.0,Flexibility,Intermediate,2,Morning,Pilates
131,50,Female,27.4,Muscle Gain,Intermediate,5,Morning,Strength Training
132,42,Female,30.5,Muscle Gain,Beginner,1,Evening,CrossFit
133,46,Female,21.5,Flexibility,Beginner,2,Evening,Pilates
134,23,Male,29.5,Weight Loss,Advanced,4,Morning,HIIT
135,36,Female,31.3,Weight Loss,Advanced,3,Morning,HIIT
136,25,Male,22.0,Flexibility,Intermediate,3,Morning,Pilates
137,36,Female,27.4,Weight Loss,Advanced,2,Morning,Zumba
138,48,Female,30.3,Weight Loss,Beginner,5,Evening,Cardio Blast
139,43,Female,22.8,Weight Loss,Advanced,4,Evening,Zumba
140,34,Male,30.8,Muscle Gain,Intermediate,3,Morning,Strength Training
141,46,Male,24.0,Muscle Gain,Intermediate,2,Evening,CrossFit
142,34,Male,29.8,Weight Loss,Beginner,4,Morning,Cardio Blast
143,21,Male,30.4,Flexibility,Advanced,1,Morning,Yoga
144,46,Female,20.9,Weight Loss,Advanced,1,Morning,Cardio Blast
145,45,Male,30.2,Weight Loss,Beginner,5,Morning,HIIT
146,34,Male,22.7,Weight Loss,Beginner,3,Evening,HIIT
147,46,Female,25.6,Muscle Gain,Advanced,1,Morning,CrossFit
148,48,Male,22.5,Flexibility,Intermediate,2,Morning,Yoga
149,47,Male,24.0,Flexibility,Beginner,2,Evening,Yoga
150,41,Female,18.2,Flexibility,Intermediate,0,Evening,Yoga
151,48,Male,22.0,Muscle Gain,Advanced,4,Evening,Strength Training
152,26,Male,30.3,Muscle Gain,Advanced,0,Evening,CrossFit
153,31,Female,18.2,Weight Loss,Advanced,0,Morning,Zumba
154,20,Female,31.5,Weight Loss,Advanced,3,Morning,Zumba
155,21,Male,24.5,Weight Loss,Intermediate,4,Morning,Zumba
156,19,Male,20.3,Muscle Gain,Beginner,3,Morning,CrossFit
157,23,Female,25.4,Weight Loss,Beginner,0,Morning,HIIT
158,48,Female,26.6,Weight Loss,Intermediate,0,Evening,HIIT
159,41,Male,19.7,Weight Loss,Advanced,2,Morning,Zumba
160,18,Male,21.3,Muscle Gain,Intermediate,2,Evening,CrossFit
161,44,Female,20.2,Flexibility,Intermediate,4,Morning,Yoga
162,24,Female,25.4,Muscle Gain,Advanced,4,Evening,Strength Training
163,27,Male,25.8,Flexibility,Advanced,2,Morning,Yoga
164,18,Female,20.6,Flexibility,Beginner,4,Morning,Pilates
165,25,Male,18.4,Weight Loss,Advanced,4,Morning,HIIT
166,25,Female,28.6,Weight Loss,Beginner,3,Evening,HIIT
167,32,Male,25.7,Muscle Gain,Advanced,0,Evening,CrossFit
168,31,Female,25.5,Flexibility,Advanced,3,Evening,Pilates
169,40,Male,20.7,Weight Loss,Beginner,2,Morning,Cardio Blast
170,45,Female,24.4,Weight Loss,Beginner,3,Evening,HIIT
171,29,Female,24.8,Flexibility,Beginner,2,Evening,Yoga
172,50,Female,22.8,Muscle Gain,Beginner,1,Morning,CrossFit
173,27,Male,24.3,Weight Loss,Intermediate,5,Morning,Cardio Blast
174,33,Male,21.4,Weight Loss,Beginner,0,Morning,HIIT
175,19,Male,30.6,Flexibility,Beginner,3,Morning,Pilates
176,43,Male,29.3,Muscle Gain,Advanced,3,Morning,CrossFit
177,48,Male,18.6,Weight Loss,Advanced,0,Morning,HIIT
178,23,Female,23.2,Weight Loss,Advanced,0,Morning,HIIT
179,33,Female,27.4,Muscle Gain,Beginner,2,Morning,CrossFit
180,48,Male,22.7,Weight Loss,Beginner,3,Evening,Cardio Blast
181,47,Male,29.6,Flexibility,Beginner,2,Morning,Pilates
182,44,Male,22.5,Weight Loss,Beginner,3,Evening,HIIT
183,25,Female,25.5,Flexibility,Beginner,5,Evening,Pilates
184,18,Female,24.2,Weight Loss,Advanced,2,Morning,Cardio Blast
185,29,Female,25.7,Weight Loss,Beginner,5,Morning,Cardio Blast
186,45,Female,20.1,Muscle Gain,Advanced,4,Morning,CrossFit
187,46,Male,26.3,Flexibility,Beginner,1,Morning,Yoga
188,30,Male,27.2,Flexibility,Advanced,4,Morning,Pilates
189,31,Female,21.2,Weight Loss,Beginner,3,Morning,Zumba
190,46,Female,22.9,Muscle Gain,Intermediate,2,Evening,CrossFit
191,36,Male,26.9,Weight Loss,Advanced,5,Evening,HIIT
192,50,Male,25.7,Flexibility,Advanced,3,Evening,Yoga
193,31,Male,27.2,Flexibility,Intermediate,5,Evening,Yoga
194,21,Female,30.8,Flexibility,Intermediate,5,Morning,Pilates
195,18,Female,19.6,Flexibility,Intermediate,4,Morning,Pilates
196,28,Female,22.1,Muscle Gain,Intermediate,4,Evening,CrossFit
197,44,Male,31.0,Flexibility,Intermediate,3,Morning,Yoga
198,22,Female,23.8,Weight Loss,Intermediate,4,Evening,HIIT
199,45,Male,24.9,Muscle Gain,Beginner,3,Evening,Strength Training
200,50,Male,26.6,Weight Loss,Advanced,5,Evening,HIIT
201,20,Male,25.2,Flexibility,Advanced,4,Evening,Pilates
202,46,Female,27.6,Muscle Gain,Intermediate,1,Evening,Strength Training
203,28,Female,19.6,Muscle Gain,Beginner,1,Evening,CrossFit
204,25,Male,23.8,Muscle Gain,Intermediate,4,Morning,Strength Training
205,45,Male,29.5,Weight Loss,Intermediate,4,Morning,Cardio Blast
206,38,Female,26.5,Muscle Gain,Advanced,2,Morning,CrossFit
207,43,Male,19.7,Weight Loss,Intermediate,5,Morning,HIIT
208,26,Female,19.1,Weight Loss,Beginner,0,Evening,HIIT
209,34,Male,29.1,Flexibility,Beginner,0,Morning,Yoga
210,32,Female,25.0,Muscle Gain,Intermediate,5,Morning,Strength Training
211,32,Female,27.0,Weight Loss,Beginner,2,Morning,HIIT
212,41,Male,28.2,Weight Loss,Beginner,2,Evening,Cardio Blast
213,50,Male,21.8,Weight Loss,Intermediate,4,Morning,Zumba
214,23,Female,22.4,Weight Loss,Beginner,4,Evening,Zumba
215,33,Female,26.0,Muscle Gain,Intermediate,1,Evening,Strength Training
216,45,Male,28.3,Muscle Gain,Beginner,0,Morning,Strength Training
217,24,Female,20.2,Muscle Gain,Beginner,2,Morning,Strength Training
218,41,Male,28.5,Weight Loss,Advanced,1,Morning,Cardio Blast
219,22,Male,24.5,Muscle Gain,Advanced,5,Evening,Strength Training
220,50,Male,22.5,Weight Loss,Intermediate,5,Evening,HIIT
221,24,Female,26.9,Muscle Gain,Advanced,4,Morning,CrossFit
222,29,Male,19.4,Flexibility,Advanced,2,Morning,Pilates
223,31,Female,25.4,Muscle Gain,Beginner,1,Morning,Strength Training
224,38,Female,31.3,Flexibility,Advanced,1,Evening,Yoga
225,41,Female,21.6,Muscle Gain,Intermediate,1,Morning,Strength Training
226,26,Female,26.9,Weight Loss,Beginner,0,Morning,Cardio Blast
227,24,Male,26.6,Weight Loss,Beginner,5,Evening,Cardio Blast
228,28,Female,31.3,Weight Loss,Beginner,1,Evening,HIIT
229,24,Male,23.4,Weight Loss,Advanced,4,Morning,Cardio Blast
230,22,Male,29.8,Flexibility,Beginner,4,Evening,Yoga
231,22,Female,20.2,Muscle Gain,Advanced,5,Evening,Strength Training
232,31,Female,31.1,Flexibility,Beginner,3,Morning,Pilates
233,50,Female,18.5,Flexibility,Intermediate,2,Evening,Pilates
234,19,Female,31.4,Flexibility,Advanced,4,Evening,Pilates
235,38,Female,24.2,Flexibility,Intermediate,5,Morning,Pilates
236,25,Female,30.5,Weight Loss,Beginner,3,Evening,Cardio Blast
237,45,Male,23.8,Muscle Gain,Intermediate,3,Morning,CrossFit
238,36,Male,29.1,Flexibility,Beginner,2,Morning,Pilates
239,21,Male,21.0,Flexibility,Intermediate,2,Morning,Yoga
240,40,Male,27.9,Muscle Gain,Beginner,3,Evening,Strength Training
241,41,Male,23.5,Muscle Gain,Advanced,4,Morning,CrossFit
242,45,Female,30.7,Weight Loss,Advanced,4,Evening,Cardio Blast
243,47,Male,29.9,Muscle Gain,Intermediate,4,Morning,Strength Training
244,36,Male,27.7,Flexibility,Beginner,0,Morning,Yoga
245,27,Male,26.9,Flexibility,Intermediate,1,Evening,Pilates
246,44,Male,29.1,Weight Loss,Intermediate,3,Evening,HIIT
247,35,Male,31.8,Muscle Gain,Intermediate,5,Evening,Strength Training
248,41,Female,25.8,Flexibility,Intermediate,4,Evening,Pilates
249,30,Male,30.1,Weight Loss,Beginner,1,Evening,Zumba
250,20,Male,25.8,Weight Loss,Intermediate,3,Evening,Cardio Blast
251,24,Male,18.8,Flexibility,Intermediate,4,Evening,Yoga
252,37,Male,28.8,Muscle Gain,Advanced,1,Morning,Strength Training
253,29,Male,25.7,Muscle Gain,Advanced,0,Morning,Strength Training
254,27,Female,30.4,Weight Loss,Intermediate,3,Morning,Cardio Blast
255,41,Male,28.0,Muscle Gain,Beginner,3,Morning,Strength Training
256,25,Male,23.0,Muscle Gain,Intermediate,5,Morning,Strength Training
257,30,Male,19.1,Flexibility,Advanced,1,Morning,Pilates
258,19,Female,28.3,Muscle Gain,Intermediate,2,Evening,CrossFit
259,21,Female,27.9,Muscle Gain,Beginner,2,Evening,CrossFit
260,34,Male,25.1,Flexibility,Beginner,5,Morning,Pilates
261,41,Female,25.9,Muscle Gain,Advanced,0,Evening,Strength Training
262,36,Male,29.0,Weight Loss,Beginner,5,Evening,Cardio Blast
263,50,Male,21.0,Muscle Gain,Intermediate,0,Morning,Strength Training
264,36,Female,31.5,Flexibility,Intermediate,3,Morning,Pilates
265,23,Female,31.3,Muscle Gain,Beginner,1,Morning,CrossFit
266,43,Male,20.9,Muscle Gain,Intermediate,1,Evening,CrossFit
267,25,Female,25.8,Flexibility,Beginner,3,Morning,Pilates
268,37,Female,24.0,Flexibility,Intermediate,3,Morning,Yoga
269,41,Female,19.8,Flexibility,Advanced,0,Evening,Pilates
270,26,Female,27.0,Muscle Gain,Beginner,2,Morning,CrossFit
271,44,Male,18.2,Muscle Gain,Intermediate,1,Evening,CrossFit
272,34,Male,23.6,Flexibility,Advanced,0,Morning,Pilates
273,32,Female,24.0,Muscle Gain,Advanced,5,Evening,Strength Training
274,37,Male,23.9,Muscle Gain,Advanced,1,Evening,Strength Training
275,25,Male,23.1,Flexibility,Advanced,5,Evening,Yoga
276,40,Female,25.2,Flexibility,Beginner,3,Evening,Pilates
277,29,Female,25.9,Flexibility,Beginner,5,Morning,Pilates
278,44,Male,22.9,Muscle Gain,Intermediate,4,Morning,Strength Training
279,23,Female,18.8,Flexibility,Intermediate,5,Morning,Yoga
280,40,Male,29.1,Muscle Gain,Advanced,2,Morning,CrossFit
281,23,Male,31.0,Flexibility,Advanced,5,Evening,Pilates
282,37,Male,20.0,Muscle Gain,Beginner,2,Evening,Strength Training
283,29,Male,29.8,Flexibility,Advanced,2,Morning,Pilates
284,39,Female,27.1,Muscle Gain,Advanced,0,Morning,CrossFit
285,27,Female,22.0,Muscle Gain,Intermediate,0,Morning,CrossFit
286,47,Male,20.4,Muscle Gain,Beginner,1,Evening,Strength Training
287,26,Female,21.3,Muscle Gain,Advanced,1,Morning,Strength Training
288,36,Female,23.5,Muscle Gain,Beginner,4,Morning,CrossFit
289,48,Female,31.5,Muscle Gain,Intermediate,0,Morning,Strength Training
290,25,Male,19.6,Flexibility,Intermediate,3,Evening,Yoga
291,45,Male,30.5,Weight Loss,Advanced,0,Morning,Zumba
292,32,Female,25.4,Weight Loss,Intermediate,5,Evening,HIIT
293,37,Male,28.0,Weight Loss,Intermediate,1,Evening,Cardio Blast
294,26,Female,19.5,Muscle Gain,Intermediate,0,Morning,Strength Training
295,25,Male,31.6,Muscle Gain,Advanced,2,Morning,Strength Training
296,24,Male,27.4,Flexibility,Advanced,0,Evening,Pilates
297,46,Male,18.5,Weight Loss,Advanced,5,Morning,Zumba
298,35,Male,24.2,Flexibility,Intermediate,1,Morning,Pilates
299,49,Male,28.6,Weight Loss,Beginner,1,Evening,Zumba
300,45,Male,24.2,Weight Loss,Intermediate,1,Morning,Zumba
301,33,Male,25.1,Flexibility,Advanced,2,Morning,Pilates
302,49,Male,22.4,Muscle Gain,Advanced,0,Morning,Strength Training
303,28,Male,19.9,Flexibility,Advanced,3,Evening,Yoga
304,32,Male,18.5,Weight Loss,Advanced,1,Evening,HIIT
305,32,Female,27.9,Flexibility,Beginner,2,Morning,Pilates
306,23,Male,30.3,Flexibility,Advanced,5,Evening,Pilates
307,37,Female,19.2,Flexibility,Beginner,5,Evening,Yoga
308,50,Female,26.5,Muscle Gain,Intermediate,1,Evening,CrossFit
309,34,Male,26.4,Muscle Gain,Beginner,0,Morning,Strength Training
310,19,Female,18.3,Flexibility,Advanced,2,Morning,Yoga
311,24,Male,25.7,Flexibility,Advanced,2,Evening,Yoga
312,37,Male,31.6,Flexibility,Beginner,1,Evening,Yoga
313,35,Male,22.8,Flexibility,Advanced,1,Evening,Pilates
314,24,Male,30.3,Flexibility,Intermediate,3,Morning,Yoga
315,50,Male,24.1,Flexibility,Intermediate,5,Evening,Yoga
316,39,Female,30.1,Weight Loss,Intermediate,0,Morning,HIIT
317,18,Female,23.2,Weight Loss,Intermediate,4,Morning,Cardio Blast
318,31,Female,22.1,Muscle Gain,Intermediate,5,Morning,CrossFit
319,31,Male,21.7,Muscle Gain,Beginner,1,Morning,Strength Training
320,39,Male,31.4,Flexibility,Intermediate,1,Evening,Pilates
321,33,Male,21.0,Weight Loss,Intermediate,5,Evening,Zumba
322,47,Female,25.5,Flexibility,Intermediate,1,Evening,Pilates
323,50,Male,22.5,Muscle Gain,Advanced,5,Evening,Strength Training
324,30,Female,27.6,Muscle Gain,Beginner,0,Morning,Strength Training
325,39,Male,29.5,Weight Loss,Intermediate,2,Evening,Zumba
326,47,Female,19.2,Muscle Gain,Beginner,3,Morning,CrossFit
327,44,Female,22.8,Weight Loss,Advanced,1,Morning,Cardio Blast
328,44,Female,27.5,Weight Loss,Beginner,5,Morning,Zumba
329,46,Male,29.0,Flexibility,Advanced,1,Morning,Yoga
330,38,Male,30.1,Weight Loss,Beginner,2,Morning,Zumba
331,39,Male,29.3,Flexibility,Intermediate,3,Evening,Pilates
332,37,Female,26.4,Weight Loss,Intermediate,2,Evening,Zumba
333,46,Male,26.8,Weight Loss,Beginner,5,Evening,Cardio Blast
334,28,Female,27.3,Flexibility,Beginner,1,Morning,Pilates
335,19,Female,19.0,Weight Loss,Advanced,2,Morning,Zumba
336,43,Male,22.8,Weight Loss,Advanced,3,Morning,Zumba
337,19,Female,26.5,Weight Loss,Intermediate,4,Evening,Zumba
338,38,Female,24.5,Weight Loss,Advanced,4,Evening,Zumba
339,32,Male,20.4,Muscle Gain,Beginner,3,Evening,CrossFit
340,40,Female,23.5,Muscle Gain,Advanced,4,Evening,CrossFit
341,33,Female,29.6,Muscle Gain,Intermediate,5,Morning,CrossFit
342,49,Male,26.3,Flexibility,Intermediate,1,Evening,Pilates
343,46,Female,25.5,Flexibility,Advanced,2,Morning,Yoga
344,18,Male,32.0,Muscle Gain,Beginner,0,Morning,CrossFit
345,33,Female,24.9,Muscle Gain,Advanced,3,Evening,CrossFit
346,37,Male,25.0,Weight Loss,Beginner,1,Morning,HIIT
347,24,Male,20.2,Weight Loss,Beginner,3,Evening,Zumba
348,24,Female,18.9,Muscle Gain,Intermediate,0,Evening,CrossFit
349,24,Female,28.0,Flexibility,Intermediate,4,Morning,Yoga
350,32,Female,20.4,Flexibility,Beginner,4,Evening,Pilates
351,44,Male,27.8,Flexibility,Beginner,0,Morning,Yoga
352,40,Female,23.1,Muscle Gain,Intermediate,4,Evening,Strength Training
353,29,Male,31.8,Weight Loss,Advanced,3,Morning,Zumba
354,18,Female,25.4,Muscle Gain,Intermediate,5,Morning,Strength Training
355,44,Female,29.1,Weight Loss,Advanced,5,Morning,HIIT
356,47,Male,30.4,Muscle Gain,Advanced,1,Morning,Strength Training
357,29,Female,30.0,Muscle Gain,Intermediate,0,Morning,Strength Training
358,43,Female,21.2,Muscle Gain,Advanced,2,Morning,CrossFit
359,42,Female,25.7,Flexibility,Intermediate,3,Evening,Pilates
360,33,Female,24.3,Weight Loss,Advanced,3,Evening,Zumba
361,26,Female,30.3,Weight Loss,Beginner,2,Morning,HIIT
362,37,Female,29.9,Weight Loss,Advanced,5,Evening,HIIT
363,34,Male,27.7,Weight Loss,Intermediate,1,Morning,Zumba
364,24,Female,30.5,Muscle Gain,Advanced,5,Morning,CrossFit
365,26,Female,26.5,Muscle Gain,Beginner,4,Morning,CrossFit
366,36,Male,20.4,Muscle Gain,Intermediate,4,Evening,Strength Training
367,34,Female,23.8,Flexibility,Intermediate,0,Morning,Yoga
368,33,Male,23.4,Weight Loss,Beginner,1,Evening,HIIT
369,34,Female,18.4,Muscle Gain,Advanced,2,Evening,Strength Training
370,23,Female,18.4,Flexibility,Beginner,1,Morning,Pilates
371,45,Female,19.8,Flexibility,Beginner,0,Morning,Pilates
372,48,Female,20.0,Weight Loss,Advanced,2,Morning,Zumba
373,31,Female,28.8,Weight Loss,Intermediate,1,Evening,Zumba
374,24,Female,28.3,Weight Loss,Intermediate,2,Morning,Zumba
375,39,Male,29.7,Weight Loss,Beginner,4,Evening,HIIT
376,50,Male,21.6,Weight Loss,Beginner,2,Evening,HIIT
377,32,Male,23.7,Muscle Gain,Beginner,0,Morning,CrossFit
378,22,Female,21.8,Muscle Gain,Advanced,1,Morning,CrossFit
379,29,Female,21.9,Weight Loss,Intermediate,2,Evening,Zumba
380,46,Female,29.4,Weight Loss,Intermediate,4,Morning,HIIT
381,46,Male,19.4,Muscle Gain,Intermediate,4,Evening,CrossFit
382,41,Male,27.3,Muscle Gain,Advanced,2,Evening,Strength Training
383,35,Female,27.9,Flexibility,Advanced,5,Morning,Pilates
384,20,Male,29.4,Flexibility,Advanced,1,Morning,Pilates
385,45,Male,22.7,Flexibility,Advanced,4,Evening,Pilates
386,31,Female,22.2,Weight Loss,Beginner,1,Evening,HIIT
387,37,Female,21.3,Weight Loss,Advanced,2,Morning,Cardio Blast
388,50,Female,28.8,Weight Loss,Advanced,0,Morning,Cardio Blast
389,45,Female,23.1,Flexibility,Advanced,4,Morning,Yoga
390,37,Male,23.3,Muscle Gain,Beginner,0,Morning,CrossFit
391,37,Male,26.3,Weight Loss,Advanced,5,Morning,HIIT
392,23,Male,31.2,Muscle Gain,Advanced,3,Evening,Strength Training
393,29,Female,29.9,Weight Loss,Advanced,2,Morning,HIIT
394,21,Female,23.5,Flexibility,Intermediate,4,Morning,Pilates
395,43,Female,24.2,Flexibility,Advanced,3,Morning,Pilates
396,49,Female,21.2,Flexibility,Advanced,5,Morning,Yoga
397,44,Male,24.8,Weight Loss,Beginner,3,Evening,HIIT
398,30,Male,24.0,Weight Loss,Intermediate,2,Morning,Zumba
